지역명,규모구분,연도,월,분양가격(제곱미터)
서울,모든면적,2015,10,5841
서울,전용면적 60제곱미터이하,2015,10,5652
서울,전용면적 60제곱미터초과 85제곱미터이하,2015,10,5882
서울,전용면적 85제곱미터초과 102제곱미터이하,2015,10,5721
서울,전용면적 102제곱미터초과,2015,10,5879
인천,모든면적,2015,10,3163
인천,전용면적 60제곱미터이하,2015,10,3488
인천,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3119
인천,전용면적 85제곱미터초과 102제곱미터이하,2015,10,3545
인천,전용면적 102제곱미터초과,2015,10,3408
경기,모든면적,2015,10,3138
경기,전용면적 60제곱미터이하,2015,10,3126
경기,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3239
경기,전용면적 85제곱미터초과 102제곱미터이하,2015,10,3496
경기,전용면적 102제곱미터초과,2015,10,3680
부산,모든면적,2015,10,3112
부산,전용면적 60제곱미터이하,2015,10,2950
부산,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2999
부산,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2957
부산,전용면적 102제곱미터초과,2015,10,3500
대구,모든면적,2015,10,2682
대구,전용면적 60제곱미터이하,2015,10,2614
대구,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2696
대구,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2557
대구,전용면적 102제곱미터초과,2015,10,2598
광주,모든면적,2015,10,2420
광주,전용면적 60제곱미터이하,2015,10,2253
광주,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2439
광주,전용면적 85제곱미터초과 102제곱미터이하,2015,10,"  "
광주,전용면적 102제곱미터초과,2015,10,"  "
대전,모든면적,2015,10,2454
대전,전용면적 60제곱미터이하,2015,10,2585
대전,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2428
대전,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2461
대전,전용면적 102제곱미터초과,2015,10,"  "
울산,모든면적,2015,10,3053
울산,전용면적 60제곱미터이하,2015,10,2422
울산,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3040
울산,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2951
울산,전용면적 102제곱미터초과,2015,10,2690
세종,모든면적,2015,10,2642
세종,전용면적 60제곱미터이하,2015,10,2572
세종,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2657
세종,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2644
세종,전용면적 102제곱미터초과,2015,10,2692
강원,모든면적,2015,10,2167
강원,전용면적 60제곱미터이하,2015,10,2286
강원,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2212
강원,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2061
강원,전용면적 102제곱미터초과,2015,10,2171
충북,모든면적,2015,10,2032
충북,전용면적 60제곱미터이하,2015,10,1919
충북,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2033
충북,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2102
충북,전용면적 102제곱미터초과,2015,10,2369
충남,모든면적,2015,10,2099
충남,전용면적 60제곱미터이하,2015,10,2206
충남,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2101
충남,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2743
충남,전용면적 102제곱미터초과,2015,10,2442
전북,모든면적,2015,10,2054
전북,전용면적 60제곱미터이하,2015,10,2127
전북,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2056
전북,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2377
전북,전용면적 102제곱미터초과,2015,10,2250
전남,모든면적,2015,10,1925
전남,전용면적 60제곱미터이하,2015,10,1999
전남,전용면적 60제곱미터초과 85제곱미터이하,2015,10,1922
전남,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2262
전남,전용면적 102제곱미터초과,2015,10,2292
경북,모든면적,2015,10,2148
경북,전용면적 60제곱미터이하,2015,10,2204
경북,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2145
경북,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2308
경북,전용면적 102제곱미터초과,2015,10,2222
경남,모든면적,2015,10,2291
경남,전용면적 60제곱미터이하,2015,10,2239
경남,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2305
경남,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2890
경남,전용면적 102제곱미터초과,2015,10,3014
제주,모든면적,2015,10,2232
제주,전용면적 60제곱미터이하,2015,10,"  "
제주,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2225
제주,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2583
제주,전용면적 102제곱미터초과,2015,10,2574
서울,모든면적,2015,11,6050
서울,전용면적 60제곱미터이하,2015,11,6320
서울,전용면적 60제곱미터초과 85제곱미터이하,2015,11,5964
서울,전용면적 85제곱미터초과 102제곱미터이하,2015,11,7092
서울,전용면적 102제곱미터초과,2015,11,6551
인천,모든면적,2015,11,3184
인천,전용면적 60제곱미터이하,2015,11,3328
인천,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3119
인천,전용면적 85제곱미터초과 102제곱미터이하,2015,11,3545
인천,전용면적 102제곱미터초과,2015,11,3408
경기,모든면적,2015,11,3098
경기,전용면적 60제곱미터이하,2015,11,3079
경기,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3202
경기,전용면적 85제곱미터초과 102제곱미터이하,2015,11,3391
경기,전용면적 102제곱미터초과,2015,11,3724
부산,모든면적,2015,11,3131
부산,전용면적 60제곱미터이하,2015,11,2982
부산,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3037
부산,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2957
부산,전용면적 102제곱미터초과,2015,11,3739
대구,모든면적,2015,11,2749
대구,전용면적 60제곱미터이하,2015,11,2503
대구,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2806
대구,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2557
대구,전용면적 102제곱미터초과,2015,11,2743
광주,모든면적,2015,11,2424
광주,전용면적 60제곱미터이하,2015,11,2251
광주,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2444
광주,전용면적 85제곱미터초과 102제곱미터이하,2015,11,"  "
광주,전용면적 102제곱미터초과,2015,11,"  "
대전,모든면적,2015,11,2454
대전,전용면적 60제곱미터이하,2015,11,2585
대전,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2428
대전,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2461
대전,전용면적 102제곱미터초과,2015,11,"  "
